Month,Number
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,19
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,9
2008-01,0
2008-02,8
2008-03,8
2008-04,8
2008-05,10
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,10
2008-11,0
2008-12,0
2009-01,0
2009-02,13
2009-03,8
2009-04,0
2009-05,7
2009-06,0
2009-07,0
2009-08,0
2009-09,15
2009-10,7
2009-11,9
2009-12,6
2010-01,9
2010-02,15
2010-03,7
2010-04,8
2010-05,6
2010-06,0
2010-07,0
2010-08,0
2010-09,10
2010-10,9
2010-11,5
2010-12,5
2011-01,8
2011-02,15
2011-03,10
2011-04,7
2011-05,9
2011-06,5
2011-07,3
2011-08,0
2011-09,20
2011-10,10
2011-11,7
2011-12,8
2012-01,13
2012-02,14
2012-03,11
2012-04,7
2012-05,10
2012-06,7
2012-07,4
2012-08,6
2012-09,26
2012-10,12
2012-11,8
2012-12,8
2013-01,20
2013-02,21
2013-03,13
2013-04,10
2013-05,13
2013-06,8
2013-07,7
2013-08,9
2013-09,26
2013-10,16
2013-11,14
2013-12,10
2014-01,18
2014-02,25
2014-03,17
2014-04,10
2014-05,16
2014-06,10
2014-07,5
2014-08,11
2014-09,33
2014-10,23
2014-11,13
2014-12,12
2015-01,28
2015-02,30
2015-03,20
2015-04,18
2015-05,19
2015-06,17
2015-07,10
2015-08,12
2015-09,40
2015-10,30
2015-11,18
2015-12,18
2016-01,30
2016-02,38
2016-03,25
2016-04,23
2016-05,22
2016-06,18
2016-07,12
2016-08,15
2016-09,44
2016-10,24
2016-11,19
2016-12,24
2017-01,35
2017-02,43
2017-03,29
2017-04,31
2017-05,27
2017-06,23
2017-07,15
2017-08,20
2017-09,39
2017-10,33
2017-11,24
2017-12,21
2018-01,39
2018-02,47
2018-03,33
2018-04,32
2018-05,33
2018-06,19
2018-07,18
2018-08,26
2018-09,41
2018-10,35
2018-11,25
2018-12,28
2019-01,41
2019-02,52
2019-03,37
2019-04,40
2019-05,41
2019-06,31
2019-07,26
2019-08,29
2019-09,59
2019-10,43
2019-11,35
2019-12,31
2020-01,49
2020-02,59
2020-03,43
2020-04,40
2020-05,39
2020-06,33
2020-07,29
2020-08,36
2020-09,78
2020-10,54
2020-11,34
2020-12,31
2021-01,40
2021-02,62
2021-03,45
2021-04,44
2021-05,46
2021-06,38
2021-07,35
2021-08,35
2021-09,65
2021-10,53
2021-11,42
2021-12,41
2022-01,57
2022-02,83
2022-03,69
2022-04,75
2022-05,62
2022-06,45
2022-07,43
2022-08,50
2022-09,88
2022-10,71
2022-11,54
2022-12,52
2023-01,75
2023-02,96
2023-03,71
2023-04,62
2023-05,59
2023-06,44
2023-07,38
2023-08,53
2023-09,91
2023-10,78
2023-11,59
2023-12,52
2024-01,76
2024-02,100
2024-03,78
2024-04,70
2024-05,55
2024-06,45
2024-07,38
