Month,Number
2004-01,100
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,10
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,8
2014-12,0
2015-01,0
2015-02,8
2015-03,9
2015-04,0
2015-05,10
2015-06,10
2015-07,11
2015-08,9
2015-09,8
2015-10,11
2015-11,12
2015-12,13
2016-01,11
2016-02,15
2016-03,18
2016-04,19
2016-05,21
2016-06,26
2016-07,14
2016-08,17
2016-09,19
2016-10,21
2016-11,20
2016-12,16
2017-01,17
2017-02,22
2017-03,29
2017-04,19
2017-05,31
2017-06,26
2017-07,21
2017-08,20
2017-09,20
2017-10,29
2017-11,32
2017-12,23
2018-01,29
2018-02,25
2018-03,34
2018-04,26
2018-05,27
2018-06,32
2018-07,23
2018-08,25
2018-09,25
2018-10,43
2018-11,31
2018-12,25
2019-01,29
2019-02,41
2019-03,30
2019-04,34
2019-05,44
2019-06,51
2019-07,39
2019-08,29
2019-09,33
2019-10,43
2019-11,49
2019-12,38
2020-01,61
2020-02,52
2020-03,49
2020-04,52
2020-05,53
2020-06,51
2020-07,46
2020-08,42
2020-09,56
2020-10,50
2020-11,56
2020-12,50
2021-01,61
2021-02,54
2021-03,59
2021-04,56
2021-05,58
2021-06,57
2021-07,51
2021-08,53
2021-09,61
2021-10,65
2021-11,73
2021-12,62
2022-01,92
2022-02,90
2022-03,90
2022-04,95
2022-05,95
2022-06,88
2022-07,78
2022-08,69
2022-09,67
2022-10,94
2022-11,89
2022-12,62
2023-01,93
2023-02,95
2023-03,87
2023-04,79
2023-05,82
2023-06,90
2023-07,82
2023-08,75
2023-09,89
2023-10,76
2023-11,92
2023-12,61
2024-01,89
2024-02,93
2024-03,87
2024-04,91
2024-05,92
2024-06,85
2024-07,79
